Simulation Complete...
         65697726 function calls (65659680 primitive calls) in 72.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2051    0.002    0.000    0.002    0.000 enum.py:470(__setattr__)
     2286    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    33642    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
       89    0.002    0.000    0.010    0.000 traitlets.py:991(setup_class)
     3821    0.002    0.000    0.004    0.000 {built-in method builtins.max}
      499    0.002    0.000    0.111    0.000 sre_compile.py:783(compile)
      106    0.002    0.000    0.006    0.000 artist.py:169(<listcomp>)
        4    0.002    0.000    0.002    0.001 _codata.py:1993(parse_constants_2002to2014)
     8155    0.002    0.000    0.003    0.000 sre_parse.py:250(match)
      606    0.002    0.000    0.002    0.000 typing.py:206(_collect_type_vars)
      499    0.002    0.000    0.009    0.000 sre_compile.py:560(_compile_info)
     6783    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:897(__exit__)
2022/1851    0.001    0.000    0.035    0.000 typing.py:306(inner)
     1705    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
     3197    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.001    0.001    0.002    0.002 c_parser_wrapper.py:60(__init__)
     1648    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        2    0.001    0.001    0.001    0.001 shortcuts.py:65(_buildModelsFromUrdf)
     1648    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     7830    0.001    0.000    0.002    0.000 sre_parse.py:161(__len__)
     2450    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4610    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
     5936    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1705    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     6783    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:893(__enter__)
     3132    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:391(cached)
     8956    0.001    0.000    0.002    0.000 enum.py:678(__new__)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
      499    0.001    0.000    0.065    0.000 sre_parse.py:944(parse)
     1484    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     7837    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      110    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
     2411    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      401    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     4782    0.001    0.000    0.002    0.000 sre_parse.py:287(tell)
     1686    0.001    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  747/136    0.001    0.000    0.935    0.007 {built-in method builtins.__import__}
      195    0.001    0.000    0.001    0.000 colors.py:1155(<listcomp>)
     3744    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     1484    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1093    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     1336    0.001    0.000    0.002    0.000 sre_parse.py:356(_escape)
     1500    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
     1694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1719    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:169(__enter__)
    11497    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     7201    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        2    0.001    0.001    0.002    0.001 _codata.py:2019(parse_constants_2018toXXXX)
        1    0.001    0.001    0.001    0.001 c_parser_wrapper.py:222(read)
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
     1690    0.001    0.000    0.002    0.000 __init__.py:101(find_spec)
      842    0.001    0.000    0.001    0.000 inspect.py:66(get_annotations)
   2235/5    0.001    0.000    1.201    0.240 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    10603    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      377    0.001    0.000    0.014    0.000 typing.py:483(Union)
    11497    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1290    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      443    0.001    0.000    0.003    0.000 typing_extensions.py:3316(_collect_type_vars)
     1484    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     2263    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      534    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     1861    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      951    0.001    0.000    0.002    0.000 inspect.py:612(unwrap)
     4271    0.001    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
     6734    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
    10856    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      712    0.001    0.000    0.002    0.000 typing.py:1284(__hash__)
     1487    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      499    0.001    0.000    0.002    0.000 enum.py:986(__and__)
      388    0.001    0.000    0.002    0.000 _docscrape.py:67(read_to_condition)
1568/1567    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
     8416    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
     4395    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      186    0.001    0.000    0.002    0.000 colors.py:325(_to_rgba_no_colorcycle)
     1719    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
 4310/959    0.001    0.000    0.001    0.000 __init__.py:368(recursive_subclasses)
      296    0.001    0.000    0.002    0.000 _docscrape.py:168(_is_at_section)
     8820    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       24    0.001    0.000    0.002    0.000 util.py:242(_collapse_string_to_ranges)
     2139    0.001    0.000    0.004    0.000 typing.py:137(_type_convert)
      401    0.001    0.000    0.006    0.000 abc.py:105(__new__)
     6021    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      443    0.001    0.000    0.001    0.000 typing_extensions.py:3281(_has_generic_or_protocol_as_origin)
      287    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      753    0.001    0.000    0.001    0.000 sre_parse.py:85(opengroup)
       40    0.001    0.000    0.001    0.000 textwrap.py:241(_wrap_chunks)
    10564    0.001    0.000    0.001    0.000 inspect.py:2687(name)
     5735    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      447    0.001    0.000    0.002    0.000 copy.py:66(copy)
      270    0.001    0.000    0.011    0.000 _decorators.py:363(decorator)
      239    0.001    0.000    0.001    0.000 core.py:491(__init__)
       40    0.001    0.000    0.001    0.000 {built-in method io.open}
     1860    0.001    0.000    0.001    0.000 enum.py:22(_is_dunder)
      951    0.001    0.000    0.005    0.000 typing.py:947(__init__)
      377    0.001    0.000    0.002    0.000 typing.py:267(_remove_dups_flatten)
     2096    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     6038    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      184    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     9617    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      979    0.001    0.000    0.012    0.000 __init__.py:751(__setitem__)
     1719    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     4973    0.001    0.000    0.001    0.000 artist.py:1559(<genexpr>)
        4    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     1861    0.001    0.000    0.001    0.000 enum.py:33(_is_sunder)
      499    0.001    0.000    0.043    0.000 sre_compile.py:622(_code)
      240    0.001    0.000    0.001    0.000 posixpath.py:71(join)
      184    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     3091    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2884    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2686    0.001    0.000    0.001    0.000 util.py:217(__call__)
      664    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        2    0.001    0.000    0.005    0.002 _internal.py:1(<module>)
      184    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
2221/2041    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
