time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7
0.076,0.576099,0.252855,-0.089736,-0.723896906,-0.049539122,0.03478133,0.6156134,-0.013670728,1.002335923,0.005987863,0.498037934,-0.316433406,0.011202075,0.6904,0.047598273,-0.377025459,0.431437584
0.078,0.576279,0.252123,-0.089736,-0.722901629,-0.050181069,0.034803478,0.6170137,-0.013575535,1.001569872,0.006850998,0.497388769,-0.325323545,0.010955738,0.71005,0.047535262,-0.388025273,0.431688263
0.08,0.576465,0.251392,-0.089736,-0.721907351,-0.050840617,0.034825113,0.618454,-0.013480547,1.000783822,0.007714655,0.49673964,-0.33411869,0.01070413,0.72945,0.047477122,-0.39802508,0.4319144
0.082,0.576654,0.250662,-0.089736,-0.720915071,-0.051517664,0.034846335,0.6199323,-0.013385666,0.999977772,0.008578735,0.496040547,-0.342808841,0.010457246,0.74875,0.047423851,-0.408124878,0.432121
0.084,0.576849,0.249934,-0.089736,-0.719922789,-0.052212012,0.034866943,0.6214486,-0.013290891,0.999151723,0.009443138,0.495391491,-0.351398999,0.010200084,0.7678,0.047375449,-0.418374669,0.43229807
0.086,0.577048,0.249207,-0.089736,-0.718933505,-0.05292346,0.034887136,0.6230039,-0.013196124,0.998304673,0.010307966,0.494742472,-0.359884162,0.00994264,0.7866,0.047341912,-0.428774451,0.432470614
0.088,0.577251,0.248481,-0.089736,-0.717944219,-0.053651709,0.034906714,0.6245962,-0.013101564,0.997436625,0.01117302,0.49404349,-0.368269332,0.009684912,0.80525,0.04730324,-0.439274224,0.432633638
0.09,0.577459,0.247756,-0.089736,-0.716956931,-0.054396657,0.034925876,0.6262245,-0.013006911,0.996547576,0.0120385,0.493394547,-0.376549508,0.009416896,0.82365,0.047264432,-0.44957399,0.432777147
0.092,0.577672,0.247033,-0.089736,-0.715970641,-0.055158107,0.034944422,0.6278908,-0.012912466,0.995637529,0.012904208,0.492745641,-0.38473469,0.009153589,0.84195,0.047240485,-0.459673746,0.432901145
0.094,0.577889,0.246311,-0.089736,-0.714986348,-0.055935756,0.034962451,0.6295931,-0.012818029,0.994708482,0.013770144,0.492046774,-0.392799879,0.008884989,0.86005,0.047206399,-0.469623495,0.433000638
0.096,0.578111,0.24559,-0.089736,-0.714002054,-0.056729506,0.034979962,0.6313314,-0.0127236,0.993759435,0.014636209,0.491297947,-0.400760074,0.008616093,0.8778,0.047187173,-0.479423234,0.433090629
0.098,0.578337,0.244871,-0.089736,-0.713020757,-0.057538956,0.034996956,0.6331047,-0.01262928,0.992790389,0.015502506,0.490599158,-0.408610276,0.008341899,0.8953,0.047177804,-0.489172965,0.433161124
0.1,0.578568,0.244153,-0.089736,-0.712040457,-0.058364107,0.03501333,0.634913,-0.012534968,0.991802343,0.016368933,0.48990041,-0.416340485,0.008057403,0.91265,0.047168293,-0.498772687,0.433222128
0.102,0.578803,0.243437,-0.089736,-0.711061155,-0.059204558,0.035029186,0.6367553,-0.012440566,0.990795298,0.017235393,0.489301701,-0.4239707,0.007772602,0.9298,0.047163636,-0.5081724,0.433263643
0.104,0.579043,0.242722,-0.089736,-0.71008285,-0.06006011,0.035044421,0.6386326,-0.012346274,0.989769253,0.018101987,0.488553033,-0.431485922,0.007487496,0.9467,0.047163835,-0.517622104,0.433285674
0.106,0.579287,0.242008,-0.089736,-0.709106543,-0.060930662,0.035059136,0.6405429,-0.012251991,0.988725209,0.018968615,0.487754405,-0.438901151,0.007202081,0.9634,0.047163886,-0.526921799,0.433288226
0.108,0.579536,0.241297,-0.089736,-0.708132233,-0.061815915,0.03507323,0.6424862,-0.012157618,0.987661166,0.019835179,0.487005819,-0.446201386,0.006926354,0.9799,0.04717379,-0.536071485,0.433266303
0.11,0.579789,0.240586,-0.089736,-0.70715892,-0.062715668,0.035086802,0.6444625,-0.012063255,0.986580123,0.020701679,0.486307273,-0.453386629,0.006635314,0.9962,0.047178545,-0.545121161,0.433224907
0.112,0.580047,0.239878,-0.089736,-0.706186604,-0.063629621,0.035099852,0.6464718,-0.011968903,0.985481081,0.021568118,0.48555877,-0.460461878,0.006343959,1.0123,0.04719315,-0.554020829,0.433179044
0.114,0.580309,0.239171,-0.089736,-0.705216285,-0.064557675,0.035112179,0.6485121,-0.011874562,0.98436404,0.022434395,0.484860308,-0.467417135,0.005992285,1.02805,0.047187603,-0.562920487,0.433233716
0.116,0.580575,0.238465,-0.089736,-0.704247963,-0.06549953,0.035123982,0.6505844,-0.011780033,0.983228999,0.023300612,0.484061888,-0.474272398,0.005670292,1.04355,0.047206905,-0.571670136,0.433213928
0.118,0.580846,0.237762,-0.089736,-0.703279637,-0.066454885,0.03513466,0.6526867,-0.011685815,0.98207696,0.02416777,0.483313511,-0.481022669,0.005372976,1.059,0.047236054,-0.580269775,0.433109682
0.12,0.581121,0.23706,-0.089736,-0.702314309,-0.06742374,0.035145314,0.65482,-0.011591208,0.98090792,0.02503357,0.482615177,-0.487657946,0.005095337,1.0742,0.047270049,-0.588769405,0.432920983
0.122,0.581401,0.23636,-0.089736,-0.701349977,-0.068405796,0.035155242,0.6569843,-0.011496614,0.979721882,0.025899013,0.481816885,-0.494188231,0.004842371,1.0892,0.047338889,-0.597269026,0.432667832
0.124,0.581685,0.235661,-0.089736,-0.700386641,-0.069400653,0.035164644,0.6591776,-0.011401932,0.978518844,0.0267642,0.481068637,-0.500598523,0.004534077,1.1039,0.047377573,-0.605568636,0.432510235
0.126,0.581974,0.234965,-0.089736,-0.699425302,-0.07040831,0.035173419,0.6613999,-0.011307064,0.977298807,0.027629133,0.480170432,-0.506903822,0.004230454,1.1183,0.0474311,-0.613768237,0.432333193
0.128,0.582267,0.23427,-0.089736,-0.698465959,-0.071428468,0.035181566,0.6636512,-0.011212208,0.976063771,0.028493612,0.479372271,-0.513114129,0.003916499,1.13265,0.04748447,-0.621867829,0.432136711
0.13,0.582564,0.233577,-0.089736,-0.697508613,-0.072460927,0.035189085,0.6659305,-0.011117165,0.974811736,0.029357639,0.478574154,-0.519204442,0.00360221,1.1467,0.047532681,-0.62981741,0.43192579
0.132,0.582866,0.232886,-0.089736,-0.696551263,-0.073505486,0.035195976,0.6682388,-0.011022037,0.973543702,0.030221314,0.477826081,-0.525179763,0.003287586,1.16055,0.047585733,-0.637766982,0.431695435
0.134,0.583172,0.232197,-0.089736,-0.695596909,-0.074561846,0.035202236,0.6705731,-0.010926822,0.972260668,0.031084539,0.477028052,-0.531040092,0.002972625,1.17425,0.047638625,-0.645516544,0.431450647
0.136,0.583482,0.23151,-0.089736,-0.694643551,-0.075629807,0.035207867,0.6729354,-0.010831522,0.970961635,0.031947116,0.476180068,-0.536800428,0.002657326,1.1877,0.047706356,-0.653066096,0.43118643
0.138,0.583796,0.230825,-0.089736,-0.693692189,-0.076709168,0.035212866,0.6753247,-0.010736037,0.969647604,0.032809244,0.475432129,-0.542465772,0.002331686,1.20095,0.047778926,-0.660615638,0.430907786
0.14,0.584115,0.230141,-0.089736,-0.692741822,-0.07779983,0.035217234,0.67774,-0.010640366,0.968319573,0.033670826,0.474584235,-0.548021123,0.002010704,1.2139,0.047856332,-0.66801517,0.430609719
0.142,0.584439,0.22946,-0.089736,-0.691793452,-0.078901492,0.03522087,0.6801803,-0.010544611,0.966975543,0.034531762,0.473686386,-0.553476481,0.001684378,1.22665,0.047933576,-0.675414692,0.430282231
0.144,0.584766,0.228781,-0.089736,-0.690847077,-0.080013856,0.035223972,0.6826466,-0.010448672,0.965617514,0.035391954,0.472788583,-0.558816847,0.001357708,1.2393,0.048015656,-0.682764204,0.429945324
0.146,0.585098,0.228104,-0.089736,-0.689902697,-0.08113692,0.035226341,0.6851379,-0.010352548,0.964244486,0.036251503,0.472040826,-0.564057221,0.001035691,1.2518,0.048097571,-0.689913705,0.429594002
0.148,0.585434,0.227429,-0.089736,-0.688959314,-0.082270284,0.035228075,0.6876542,-0.010256241,0.962857459,0.037110409,0.471243114,-0.569202602,0.000698326,1.26395,0.04818432,-0.697013197,0.429223266
0.15,0.585774,0.226756,-0.089736,-0.688016925,-0.08341385,0.035229175,0.6901945,-0.010159851,0.961456433,0.037968475,0.470445448,-0.574242991,0.000365611,1.2759,0.048275904,-0.703912678,0.428833119
0.152,0.586118,0.226085,-0.089736,-0.687077532,-0.084567416,0.035229538,0.6927578,-0.010063177,0.960041408,0.038825701,0.469547829,-0.579183388,3.25E-05,1.28765,0.048362321,-0.710762149,0.428418564
0.154,0.586467,0.225417,-0.089736,-0.686139134,-0.085730784,0.035229266,0.6953451,-0.009966321,0.958613385,0.039682188,0.468600256,-0.584018793,-0.000305873,1.2993,0.04846857,-0.71751161,0.427989602
0.156,0.58682,0.22475,-0.089736,-0.685202731,-0.086903652,0.035228356,0.6979554,-0.009869383,0.957171362,0.040537738,0.467702729,-0.588754205,-0.000639645,1.3107,0.048564651,-0.72416106,0.427541237
0.158,0.587177,0.224086,-0.089736,-0.684268323,-0.08808592,0.035226708,0.7005887,-0.009772062,0.95571634,0.041392352,0.46690525,-0.593394625,-0.001043772,1.3219,0.048630564,-0.7306605,0.42719347
0.16,0.587538,0.223424,-0.089736,-0.68333591,-0.08927739,0.035224421,0.703243,-0.00967466,0.95424832,0.042246031,0.466007817,-0.597945053,-0.001408256,1.3329,0.048721307,-0.73710993,0.426776305
0.162,0.587903,0.222765,-0.089736,-0.682403492,-0.090477861,0.035220795,0.7059203,-0.009577377,0.952768301,0.043099976,0.465210432,-0.602405489,-0.001748098,1.3437,0.04882688,-0.743509349,0.426284742
0.164,0.588273,0.222108,-0.089736,-0.681475068,-0.091687132,0.035217229,0.7086186,-0.009479512,0.951274283,0.043951689,0.464313093,-0.606760932,-0.002063298,1.3544,0.048962282,-0.749808757,0.425708784
0.166,0.588646,0.221453,-0.089736,-0.68054664,-0.092905104,0.035212822,0.7113379,-0.009381367,0.949768266,0.04480237,0.463265803,-0.611021384,-0.002343859,1.3648,0.049117514,-0.756008155,0.425048434
0.168,0.589024,0.2208,-0.089736,-0.679621205,-0.094131377,0.035207774,0.7140782,-0.009283042,0.94825025,0.045651922,0.46241856,-0.615191843,-0.002694782,1.37505,0.049242573,-0.762007542,0.424493693
0.17,0.589406,0.22015,-0.089736,-0.678697765,-0.095365952,0.035202084,0.7168385,-0.009184437,0.946720235,0.046500344,0.461471365,-0.619272311,-0.003031068,1.38515,0.04936246,-0.768006919,0.423929564
0.172,0.589791,0.219502,-0.089736,-0.67777532,-0.096608627,0.035195651,0.7196188,-0.009085552,0.945178222,0.047347639,0.460524218,-0.623262786,-0.003377718,1.39505,0.049487174,-0.774006285,0.423346049
0.174,0.590181,0.218857,-0.089736,-0.676854869,-0.097859203,0.035188574,0.7224191,-0.008986488,0.94362421,0.048193807,0.459577119,-0.62715827,-0.003734733,1.4048,0.049611714,-0.77990564,0.422743149
0.176,0.590575,0.218214,-0.089736,-0.675937411,-0.09911738,0.035180752,0.7252384,-0.008887145,0.9420582,0.049038651,0.458580068,-0.630938761,-0.004087114,1.4144,0.049741081,-0.785654985,0.422115867
0.178,0.590973,0.217574,-0.089736,-0.675020948,-0.100383158,0.035172186,0.7280767,-0.008787523,0.94048119,0.04988227,0.457633066,-0.634664261,-0.004444864,1.4237,0.049880272,-0.791254319,0.421469204
0.18,0.591375,0.216936,-0.089736,-0.674106479,-0.101656037,0.035162973,0.730934,-0.008687623,0.938893182,0.050724566,0.456836112,-0.638329769,-0.004792982,1.4329,0.050019288,-0.796753642,0.420778163
0.182,0.591781,0.2163,-0.089736,-0.673194004,-0.102936517,0.035153014,0.7338083,-0.008587446,0.937294176,0.051565542,0.455889207,-0.641930284,-0.00514147,1.4419,0.050158129,-0.802252954,0.420067746
0.184,0.592191,0.215668,-0.089736,-0.672282523,-0.104223998,0.035142408,0.7367016,-0.00848699,0.935684171,0.052404796,0.454892351,-0.645390808,-0.005500329,1.4508,0.050296793,-0.807652255,0.419402954
0.186,0.592605,0.215037,-0.089736,-0.671374035,-0.10551848,0.035131054,0.7396119,-0.008386258,0.934063167,0.053242832,0.453845544,-0.648741341,-0.005854561,1.45955,0.050435281,-0.813001546,0.418718789
0.188,0.593023,0.21441,-0.089736,-0.67046754,-0.106818963,0.03511895,0.7425402,-0.008285249,0.932432164,0.054079951,0.452848786,-0.651991881,-0.006214166,1.46805,0.050583591,-0.818250825,0.418080254
0.19,0.593445,0.213785,-0.089736,-0.66956304,-0.108126448,0.035106198,0.7454845,-0.008183964,0.930790163,0.054915152,0.451902078,-0.65524243,-0.006564145,1.4765,0.050726723,-0.823400094,0.417272349
0.192,0.593871,0.213163,-0.089736,-0.668659532,-0.109439933,0.035092695,0.7484458,-0.008082302,0.929138164,0.055749439,0.450905419,-0.658392986,-0.0069245,1.4847,0.050884676,-0.828499351,0.416515077
0.194,0.5943,0.212543,-0.089736,-0.667759018,-0.110760419,0.03507854,0.7514241,-0.007980465,0.927476166,0.056580812,0.449958809,-0.661493552,-0.007350231,1.4928,0.050987451,-0.833498598,0.41580844
0.196,0.594734,0.211926,-0.089736,-0.666860497,-0.112085907,0.035063534,0.7544174,-0.007878152,0.92580417,0.057412272,0.44891225,-0.664494125,-0.00774634,1.50065,0.051115047,-0.838397833,0.414952439
0.198,0.595171,0.211312,-0.089736,-0.665962969,-0.113418396,0.035047276,0.7574267,-0.007776164,0.924122175,0.05824182,0.44801574,-0.667394707,-0.008107828,1.5084,0.051282462,-0.843247058,0.414147076
0.2,0.595613,0.210701,-0.089736,-0.665068434,-0.114755886,0.035030863,0.760451,-0.007673302,0.922431181,0.059068459,0.44701928,-0.670245297,-0.008429695,1.51605,0.051464697,-0.847996271,0.413192354
0.202,0.596058,0.210092,-0.089736,-0.664174892,-0.116099377,0.035013797,0.7634913,-0.007570065,0.92073019,0.059894189,0.445922871,-0.672895895,-0.008731943,1.52345,0.051676751,-0.852745473,0.412388272
