time,pos_x,pos_y,pos_z
0.436,0.668729,0.163652,-0.089736
0.438,0.669469,0.163504,-0.089736
0.44,0.670209,0.16336,-0.089736
0.442,0.67095,0.163221,-0.089736
0.444,0.671692,0.163087,-0.089736
0.446,0.672435,0.162958,-0.089736
0.448,0.673178,0.162833,-0.089736
0.45,0.673922,0.162712,-0.089736
0.452,0.674668,0.162597,-0.089736
0.454,0.675413,0.162486,-0.089736
0.456,0.67616,0.16238,-0.089736
0.458,0.676907,0.162278,-0.089736
0.46,0.677655,0.162181,-0.089736
0.462,0.678403,0.162089,-0.089736
0.464,0.679152,0.162002,-0.089736
0.466,0.679901,0.161919,-0.089736
0.468,0.680651,0.161841,-0.089736
0.47,0.681402,0.161767,-0.089736
0.472,0.682152,0.161699,-0.089736
0.474,0.682904,0.161635,-0.089736
0.476,0.683655,0.161576,-0.089736
0.478,0.684407,0.161521,-0.089736
0.48,0.68516,0.161472,-0.089736
0.482,0.685912,0.161427,-0.089736
0.484,0.686665,0.161386,-0.089736
0.486,0.687418,0.161351,-0.089736
0.488,0.688172,0.16132,-0.089736
0.49,0.688925,0.161294,-0.089736
0.492,0.689679,0.161273,-0.089736
0.494,0.690433,0.161256,-0.089736
0.496,0.691187,0.161244,-0.089736
0.498,0.691941,0.161237,-0.089736
0.5,0.692695,0.161235,-0.089736
0.502,0.693449,0.161237,-0.089736
0.504,0.694203,0.161244,-0.089736
0.506,0.694956,0.161256,-0.089736
0.508,0.69571,0.161273,-0.089736
0.51,0.696464,0.161294,-0.089736
0.512,0.697217,0.16132,-0.089736
0.514,0.697971,0.161351,-0.089736
0.516,0.698724,0.161386,-0.089736
0.518,0.699477,0.161427,-0.089736
0.52,0.700229,0.161472,-0.089736
0.522,0.700982,0.161521,-0.089736
0.524,0.701734,0.161576,-0.089736
0.526,0.702485,0.161635,-0.089736
0.528,0.703237,0.161699,-0.089736
0.53,0.703988,0.161767,-0.089736
0.532,0.704738,0.161841,-0.089736
0.534,0.705488,0.161919,-0.089736
0.536,0.706237,0.162002,-0.089736
0.538,0.706986,0.162089,-0.089736
0.54,0.707735,0.162181,-0.089736
0.542,0.708482,0.162278,-0.089736
0.544,0.709229,0.16238,-0.089736
0.546,0.709976,0.162486,-0.089736
0.548,0.710722,0.162597,-0.089736
0.55,0.711467,0.162712,-0.089736
0.552,0.712211,0.162833,-0.089736
0.554,0.712955,0.162958,-0.089736
0.556,0.713697,0.163087,-0.089736
0.558,0.714439,0.163221,-0.089736
0.56,0.71518,0.16336,-0.089736
0.562,0.715921,0.163504,-0.089736
0.564,0.71666,0.163652,-0.089736
0.566,0.717398,0.163805,-0.089736
0.568,0.718135,0.163963,-0.089736
0.57,0.718872,0.164125,-0.089736
0.572,0.719607,0.164292,-0.089736
0.574,0.720341,0.164463,-0.089736
0.576,0.721074,0.164639,-0.089736
0.578,0.721806,0.16482,-0.089736
0.58,0.722537,0.165005,-0.089736
0.582,0.723267,0.165195,-0.089736
0.584,0.723996,0.165389,-0.089736
0.586,0.724723,0.165588,-0.089736
0.588,0.725449,0.165792,-0.089736
0.59,0.726174,0.166,-0.089736
0.592,0.726897,0.166212,-0.089736
0.594,0.727619,0.166429,-0.089736
0.596,0.72834,0.166651,-0.089736
0.598,0.729059,0.166877,-0.089736
0.6,0.729777,0.167108,-0.089736
0.602,0.730493,0.167343,-0.089736
0.604,0.731208,0.167583,-0.089736
0.606,0.731921,0.167827,-0.089736
0.608,0.732633,0.168076,-0.089736
0.61,0.733343,0.168329,-0.089736
0.612,0.734052,0.168587,-0.089736
0.614,0.734759,0.168849,-0.089736
0.616,0.735464,0.169115,-0.089736
0.618,0.736168,0.169386,-0.089736
0.62,0.73687,0.169662,-0.089736
0.622,0.73757,0.169941,-0.089736
0.624,0.738268,0.170226,-0.089736
0.626,0.738965,0.170514,-0.089736
0.628,0.739659,0.170807,-0.089736
0.63,0.740352,0.171104,-0.089736
0.632,0.741043,0.171406,-0.089736
0.634,0.741732,0.171712,-0.089736
0.636,0.74242,0.172022,-0.089736
0.638,0.743105,0.172337,-0.089736
0.64,0.743788,0.172656,-0.089736
0.642,0.744469,0.172979,-0.089736
0.644,0.745148,0.173306,-0.089736
0.646,0.745826,0.173638,-0.089736
0.648,0.746501,0.173974,-0.089736
0.65,0.747173,0.174314,-0.089736
0.652,0.747844,0.174659,-0.089736
0.654,0.748513,0.175007,-0.089736
0.656,0.749179,0.17536,-0.089736
0.658,0.749843,0.175717,-0.089736
0.66,0.750505,0.176078,-0.089736
0.662,0.751165,0.176443,-0.089736
0.664,0.751822,0.176813,-0.089736
0.666,0.752477,0.177186,-0.089736
0.668,0.753129,0.177564,-0.089736
0.67,0.75378,0.177946,-0.089736
0.672,0.754427,0.178332,-0.089736
0.674,0.755073,0.178722,-0.089736
0.676,0.755716,0.179116,-0.089736
0.678,0.756356,0.179514,-0.089736
0.68,0.756994,0.179916,-0.089736
0.682,0.757629,0.180322,-0.089736
0.684,0.758262,0.180732,-0.089736
0.686,0.758892,0.181146,-0.089736
0.688,0.75952,0.181563,-0.089736
0.69,0.760145,0.181985,-0.089736
0.692,0.760767,0.182411,-0.089736
0.694,0.761386,0.182841,-0.089736
0.696,0.762003,0.183274,-0.089736
0.698,0.762617,0.183712,-0.089736
0.7,0.763229,0.184153,-0.089736
0.702,0.763837,0.184598,-0.089736
0.704,0.764443,0.185047,-0.089736
0.706,0.765046,0.1855,-0.089736
0.708,0.765646,0.185956,-0.089736
0.71,0.766243,0.186416,-0.089736
0.712,0.766838,0.18688,-0.089736
0.714,0.767429,0.187348,-0.089736
0.716,0.768018,0.187819,-0.089736
0.718,0.768603,0.188295,-0.089736
0.72,0.769185,0.188773,-0.089736
0.722,0.769765,0.189256,-0.089736
0.724,0.770341,0.189742,-0.089736
0.726,0.770915,0.190231,-0.089736
0.728,0.771485,0.190725,-0.089736
0.73,0.772052,0.191222,-0.089736
0.732,0.772616,0.191722,-0.089736
0.734,0.773177,0.192226,-0.089736
0.736,0.773735,0.192733,-0.089736
0.738,0.774289,0.193244,-0.089736
0.74,0.77484,0.193759,-0.089736
0.742,0.775388,0.194277,-0.089736
